idx,id,url,precio,moneda,expensas,tipo_unidad,area_m2_cubierta,area_m2_descubierta,area_m2_total,antiguedad,estado_edificio,ambientes,banos,estado,disposicion,orientacion,latitud,longitud,image_url,imagen_path,valido_desde,valido_hasta,cocheras,dormitorios,geometry,index_right,barrio,comuna,antiguedad_cat,estado_num,log_precio
4277,18549298.0,https://www.argenprop.com/departamento-en-venta-en-palermo-soho-1-ambiente--18549298,115000.0,USD,0.0,,27.0,13.0,40.0,37.310344827586206,,1.0,1.0,Excelente,,,-34.583233,-58.42564,https://www.argenprop.com/static-content/89294581/0967af07-814a-4f43-9014-b777594fc47f_u_small.jpg,images/18549298.jpg,2026-02-05 15:20:17.266945,,0.0,,POINT (-6503912.494071117 -4107387.4232708127),20.0,Palermo,14.0,37,5,11.652687407345388
4278,18549295.0,https://www.argenprop.com/departamento-en-venta-en-palermo-soho-1-ambiente--18549295,99000.0,USD,0.0,,27.0,0.0,27.0,37.310344827586206,,1.0,1.0,Excelente,,,-34.583233,-58.42564,https://www.argenprop.com/static-content/59294581/88f7d493-9f8a-418a-9d62-9a6c738bca40_u_small.jpg,images/18549295.jpg,2026-02-05 15:20:21.438600,,0.0,,POINT (-6503912.494071117 -4107387.4232708127),20.0,Palermo,14.0,37,5,11.502875129116727
4286,18874914.0,https://www.argenprop.com/departamento-en-venta-en-puerto-madero-2-ambientes--18874914,550000.0,USD,510000.0,,65.0,0.0,65.0,14.666666666666666,,2.0,1.0,Excelente,Frente,,-34.617718,-58.362057,https://www.argenprop.com/static-content/41947881/de68fbcb-139e-4d54-9afa-9089278ea1fc_u_small.jpg,images/18874914.jpg,2026-02-05 15:20:59.518934,,1.0,,POINT (-6496834.466888007 -4112051.139852921),26.0,Puerto Madero,1.0,15,5,13.217673557208654
4333,16676893.0,https://www.argenprop.com/departamento-en-venta-en-villa-urquiza-1-ambiente--16676893,144772.0,USD,0.0,Departamento,37.0,6.0,43.0,24.96551724137931,,1.0,1.0,Excelente,Frente,,-34.57273,-58.47506,https://proxy.sosiva451.com/proxy/EDCDD1F84272D23453E60A2E097A8AE1C08EF61C1488684D0F56670BA9A86A10C37FB0DD98A2C0CD0BA7DFE5D969350C3832829D689AEB6ED3369316F4B81527FA1AA904AD53EB75DC0E859ABE3BA93EE570049488EB98A22BCD66DDF9F59748,images/16676893.jpg,2026-02-05 15:26:04.729223,,0.0,,POINT (-6509413.903306119 -4105967.3926812834),47.0,Villa Urquiza,12.0,25,5,11.882915370069586
4357,16430163.0,https://www.argenprop.com/departamento-en-venta-en-palermo-3-ambientes--16430163,573700.0,USD,0.0,Departamento,77.0,5.0,82.0,37.310344827586206,,3.0,3.0,Excelente,Contrafrente,,-34.57861,-58.41397,https://proxy.sosiva451.com/proxy/D3E4257F6379742AAAD472C0B4FDCEF4469ABAF2D60324E2C6D3CB2EB4122D6D8ECBF738A7FA425D8F5BE261A65B464458299ED34E7A09D53FD815190136BBF9954C1912E976A96FCBCBD4D3A8B7593E41207E37FCD5EE55DA99022F4207690A,images/16430163.jpg,2026-02-05 15:27:49.439608,,0.0,,POINT (-6502613.395613559 -4106762.3605640377),20.0,Palermo,14.0,37,5,13.259861890589962
4373,18667316.0,https://www.argenprop.com/departamento-en-venta-en-centro-1-ambiente--18667316,69000.0,USD,0.0,Departamento,29.0,0.0,34.0,49.975,,1.0,1.0,Excelente,Contrafrente,SE,-34.61337,-58.39048,https://static1.sosiva451.com/16291741/7b2464c8-cdba-4295-9ea7-4b49e7d47814_u_small.jpg,images/18667316.jpg,2026-02-05 15:30:34.662481,,0.0,,POINT (-6499998.500774824 -4111463.0140151815),16.0,Monserrat,1.0,50,5,11.141861783579396
4459,18454774.0,https://www.argenprop.com/departamento-en-venta-en-belgrano-chico-4-ambientes--18454774,917682.0,USD,0.0,,161.0,0.0,161.0,37.70454545454545,,4.0,4.0,Excelente,Frente,N,-34.55425,-58.438347,https://www.argenprop.com/static-content/47745481/d3c7dd1c-5e48-41b6-9f7f-c6f3e97c7523_u_small.jpg,images/18454774.jpg,2026-02-05 15:38:47.106705,,1.0,,POINT (-6505327.030840627 -4103469.288131215),4.0,Belgrano,13.0,38,5,13.729606204361719
4656,14342270.0,https://www.argenprop.com/ph-en-venta-en-liniers-1-ambiente--14342270,50000.0,USD,0.0,,25.0,0.0,25.0,5.0,,1.0,1.0,Bueno,Frente,,-34.603683,-58.381557,https://www.argenprop.com/static-content/07224341/073b0a1a-0e4c-4374-8fef-37d8ed556571_u_small.jpg,images/14342270.jpg,2026-02-05 15:57:24.897633,,0.0,,POINT (-6499005.196958477 -4110152.826932004),31.0,San Nicolas,1.0,5,3,10.819778284410283
4718,17548775.0,https://www.argenprop.com/departamento-en-venta-en-villa-lugano-3-ambientes--17548775,50000.0,USD,0.0,,49.0,0.0,49.0,53.0,,3.0,1.0,Muy Bueno,Frente,,-34.683193,-58.46388,https://www.argenprop.com/static-content/57784571/d0baa66c-a8e7-4941-8e6f-a9deeed95703_u_small.jpg,images/17548775.jpg,2026-02-05 16:01:52.517040,,0.0,,POINT (-6508169.351399051 -4120911.2486415054),39.0,Villa Lugano,8.0,53,4,10.819778284410283
4766,18896414.0,https://www.argenprop.com/departamento-en-venta-en-parque-patricios-1-ambiente--18896414,74700.0,USD,0.0,,32.5,0.0,36.0,53.625,,1.0,1.0,Excelente,,,-34.6368,-58.40456,https://www.argenprop.com/static-content/41469881/63afbfab-508e-4607-bd99-813b36dd82e7_u_small.jpg,images/18896414.jpg,2026-02-05 16:05:06.586245,,0.0,,POINT (-6501565.879205193 -4114632.6029790402),24.0,Parque Patricios,4.0,54,5,11.221235371120908
