idx,id,valido_desde,valido_hasta,url,precio,moneda,expensas,tipo_unidad,area_m2_cubierta,area_m2_descubierta,area_m2_total,antiguedad,estado_edificio,ambientes,banos,estado,disposicion,orientacion,cocheras,latitud,longitud,image_url,imagen_path,dormitorios
1,18945404.0,2026-02-04 20:28:29.214363,,https://www.argenprop.com/departamento-en-alquiler-en-pompeya-3-ambientes--18945404,850000,ARS,,Departamento,,,,,,3,,,,,,-34.65377,-58.41522,https://proxy.sosiva451.com/proxy/674B2E7E9D00972BB8D79E0C46BBFBC9EBF0511D21F9BC67302D1EFE62EB883A4C4DCD9F9E0363E056B6C6065E9F3F70765993931F7DEE52491F4B1AACB103A928818D4F740A078B1A90EF92C14E8FAE964DEE89A17AF7B1F8CA94BEC1856F28,images/18945404.jpg,
2,7264318.0,2026-02-04 20:28:29.214363,,https://www.argenprop.com/departamento-en-alquiler-en-barrio-norte--7264318,430000,ARS,133000,Departamento,32.0,,32.0,,,,,,,,,-34.59309,-58.40832,https://www.argenprop.com/static-content/8134627/a6e28010-f3e2-4441-a03f-eff2a49d1293_u_small.jpg,images/7264318.jpg,
3,18959370.0,2026-02-04 20:28:29.214363,2026-02-05 19:20:28.931616,https://www.argenprop.com/departamento-en-alquiler-en-almagro-2-ambientes--18959370,720000,ARS,66000,,35.0,,35.0,80.0,,2,1,,Frente,SO,,-34.60796,-58.41465,https://www.argenprop.com/static-content/07395981/dc20b4a0-b3cc-4c7e-9c1d-8bf0c297d76a_u_small.jpg,images/18959370.jpg,
4,18972283.0,2026-02-04 20:28:29.214363,,https://www.argenprop.com/departamento-en-alquiler-en-balvanera-2-ambientes--18972283,590000,ARS,270000,,42.0,3.0,45.0,15.0,,2,1,,Frente,,,-34.62464,-58.41029,https://proxy.sosiva451.com/proxy/B433BEE45DC7DF5B8BA4A34FF1F4560EDDB91C0FDA7F8857D67DA3A21122FB8555C66445DA36974B3FC122F804DAD4D50DB949C4C1C9010E4CDCA07085E048E48483AC0E4053202FCE09BAD3291DB88CF5096F3006B2D101FE9297A98B85F6E795EF9D9E80F1B39C881BD0BC853E71101A8E10ACE1CFC999B04BAD3DDEFADD646CB0C062FFA4906B63028EBBEFA7B7A8,images/18972283.jpg,
5,18947926.0,2026-02-04 20:28:29.230250,,https://www.argenprop.com/departamento-en-alquiler-en-villa-pueyrredon-2-ambientes--18947926,790000,ARS,120000,Departamento,45.0,5.0,50.0,,,2,1,Excelente,Frente,,,-34.58616,-58.50444,https://www.argenprop.com/static-content/62974981/19448f36-ff0a-4437-af89-045b671c1e2c_u_small.jpg,images/18947926.jpg,
6,18973270.0,2026-02-04 20:28:29.230250,2026-02-05 19:20:42.360355,https://www.argenprop.com/departamento-en-alquiler-en-san-telmo-3-ambientes--18973270,650000,ARS,85000,Departamento,50.0,4.0,54.0,60.0,,3,1,Muy Bueno,Frente,E,,-34.61706,-58.37626,https://www.argenprop.com/static-content/07237981/910bbe15-2a2d-461d-88fb-f7595ccbcb9d_u_small.jpg,images/18973270.jpg,
7,18725667.0,2026-02-04 20:28:29.230250,,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-2-ambientes--18725667,700000,ARS,110000,Departamento,35.0,,35.0,,,2,1,Muy Bueno,Interno,,,-34.59658,-58.40032,https://www.argenprop.com/static-content/76652781/37da3e63-ff48-416f-abc3-149587b414fe_u_small.jpg,images/18725667.jpg,
8,11998483.0,2026-02-04 20:28:29.230250,,https://www.argenprop.com/departamento-en-alquiler-en-caballito-2-ambientes--11998483,875000,ARS,175600,Departamento,51.0,,51.0,15.0,,2,1,Excelente,Frente,,2,-34.62464,-58.45311,https://www.argenprop.com/static-content/38489911/8df1d3da-7c88-4f8c-8292-3b50da3317bb_u_small.jpg,images/11998483.jpg,
9,18966421.0,2026-02-04 20:28:29.230250,2026-02-06 21:00:29.458383,https://www.argenprop.com/departamento-en-alquiler-en-san-telmo-2-ambientes--18966421,550000,ARS,84000,Departamento,33.0,3.0,36.0,50.0,,2,1,Muy Bueno,Frente,E,,-34.62053,-58.37008,https://www.argenprop.com/static-content/12466981/f547f0b8-024c-40a0-811a-f3198a5de92e_u_small.jpg,images/18966421.jpg,
10,18887300.0,2026-02-04 20:28:29.230250,,https://www.argenprop.com/departamento-en-alquiler-en-nunez-2-ambientes--18887300,1000000,ARS,300000,,50.0,5.0,55.0,8.0,,2,1,,Contrafrente,NE,,-34.538685,-58.465828,https://www.argenprop.com/static-content/00378881/82417bac-6f54-465b-9bd0-f7aee36458f1_u_small.jpg,images/18887300.jpg,
11,18973229.0,2026-02-04 20:28:29.230250,,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-2-ambientes--18973229,620000,ARS,117000,,36.0,,36.0,40.0,,2,1,,Contrafrente,N,,-34.596767,-58.399014,https://www.argenprop.com/static-content/92237981/e8c7f4ad-7d15-4b8a-86ef-3f6f1be3e15f_u_small.jpg,images/18973229.jpg,
12,18932490.0,2026-02-04 20:28:29.246440,,https://www.argenprop.com/departamento-en-alquiler-en-nunez-2-ambientes--18932490,900000,ARS,300000,Departamento,45.0,39.0,84.0,15.0,,2,1,Excelente,Contrafrente,SE,,-34.55346,-58.46415,https://www.argenprop.com/static-content/09423981/338df948-2528-4ad9-9868-ea7c412fa8dd_u_small.jpg,images/18932490.jpg,
13,18947219.0,2026-02-04 20:28:29.246440,,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-1-ambiente--18947219,780000,ARS,154000,,30.0,3.0,33.0,10.0,,1,1,,Contrafrente,SE,1,-34.59005,-58.396847,https://www.argenprop.com/static-content/91274981/fe0fe1ae-7870-497f-acef-91cc54271861_u_small.jpg,images/18947219.jpg,
14,12728386.0,2026-02-04 20:28:29.246440,,https://www.argenprop.com/departamento-en-alquiler-en-nunez-1-ambiente--12728386,500,USD,,,35.0,35.0,35.0,6.0,,1,1,Bueno,,,,-34.55599,-58.46326,https://www.argenprop.com/static-content/68382721/13d35da6-2cd6-45f6-9caa-a72166a3c738_u_small.jpg,images/12728386.jpg,
15,18883640.0,2026-02-04 20:28:29.246440,,https://www.argenprop.com/departamento-en-alquiler-en-retiro-3-ambientes--18883640,1400,USD,380000,Departamento,63.0,,63.0,15.0,,3,1,Excelente,Contrafrente,,1,-34.583733,-58.397186,https://www.argenprop.com/static-content/04638881/f88d84b2-e9b1-40d6-a84a-e637869bba19_u_small.jpg,images/18883640.jpg,
16,3959583.0,2026-02-04 20:28:29.246440,,https://www.argenprop.com/departamento-en-alquiler-en-almagro--3959583,600000,ARS,180000,Departamento,45.0,5.0,45.0,40.0,,,1,Excelente,Frente,,,-34.60057,-58.42389,https://www.argenprop.com/static-content/3859593/a1407945-a1a7-4da6-bd70-b71818c2d5c9_u_small.jpg,images/3959583.jpg,
17,18211797.0,2026-02-04 20:28:29.246440,,https://www.argenprop.com/departamento-en-alquiler-en-parque-avellaneda-1-ambiente--18211797,400000,ARS,,,,,,,,1,,Bueno,,N,,,,https://www.argenprop.com/static-content/79711281/c14024e5-b2ea-4301-b511-c2a70d476e6b_u_small.jpg,images/18211797.jpg,
18,18973077.0,2026-02-04 20:28:29.246440,,https://www.argenprop.com/departamento-en-alquiler-en-flores-3-ambientes--18973077,750000,ARS,260000,,65.0,3.0,68.0,45.0,,3,1,,Frente,,,-34.628765,-58.45921,https://www.argenprop.com/static-content/77037981/0afa1ab9-40a4-43de-bb65-8a47f195b683_u_small.jpg,images/18973077.jpg,
19,17374890.0,2026-02-04 20:28:29.263760,2026-02-05 19:21:43.703540,https://www.argenprop.com/departamento-en-alquiler-en-monserrat-1-ambiente--17374890,350000,ARS,90000,Departamento,26.0,,26.0,60.0,,1,1,Bueno,Interno,E,,-34.60982,-58.37637,https://www.argenprop.com/static-content/09847371/f39eca11-d78c-4e0e-8c43-42d46f7bf322_u_small.jpg,images/17374890.jpg,
20,18970985.0,2026-02-04 20:28:29.265424,,https://www.argenprop.com/departamento-en-alquiler-en-caballito-2-ambientes--18970985,800000,ARS,180000,,51.0,,51.0,28.0,,2,1,,Contrafrente,,,-34.613228,-58.427944,https://www.argenprop.com/static-content/58907981/9a9da9b0-6e7e-4068-92c3-9de4fd9e5597_u_small.jpg,images/18970985.jpg,
22,18961857.0,2026-02-04 22:45:54.448686,,https://www.argenprop.com/departamento-en-alquiler-en-microcentro-2-ambientes--18961857,650000,ARS,135000,Departamento,50.0,10.0,60.0,50.0,,2,1,Bueno,Frente,NO,,-34.60518,-58.3806,https://www.argenprop.com/static-content/75816981/6a1c3981-c32a-4104-a73b-60d0ffaadcc9_u_small.jpg,images/18961857.jpg,
23,12487515.0,2026-02-04 22:45:54.461228,2026-02-05 19:22:00.446546,https://www.argenprop.com/departamento-en-alquiler-en-caballito-2-ambientes--12487515,680000,ARS,180000,Departamento,61.0,26.0,87.0,40.0,,2,1,Muy Bueno,Frente,,,-34.62588,-58.42687,https://proxy.sosiva451.com/proxy/F80044EF1761C21DDF4BEEB1748A74C4636B113C78C25F16EAC68211B8D58F956FDEE5643FD37D031020FF47D823B3463347538A387CB130568CF297A5AFB11548D9BCFAB7D46D2FE290038F543549B6177DB82D56CB1B4834E493BC6B509ACE,images/12487515.jpg,
24,18973323.0,2026-02-04 22:45:54.468120,,https://www.argenprop.com/departamento-en-alquiler-en-san-telmo-2-ambientes--18973323,650000,ARS,87000,Departamento,36.0,2.0,38.0,55.0,,2,1,Excelente,Contrafrente,E,,-34.62379,-58.37368,/content/images/listing-camera.svg,,
25,12246057.0,2026-02-04 22:45:54.473586,,https://www.argenprop.com/departamento-en-alquiler-en-villa-crespo-1-ambiente--12246057,600000,ARS,105000,Departamento,35.0,,35.0,5.0,,1,1,Excelente,Contrafrente,,,-34.60169,-58.43686,https://www.argenprop.com/static-content/75064221/6255a032-97ba-4979-acc5-715667f9cecf_u_small.jpg,images/12246057.jpg,
26,18973311.0,2026-02-04 22:45:54.479266,,https://www.argenprop.com/departamento-en-alquiler-en-caballito-3-ambientes--18973311,950000,ARS,102000,,60.0,,60.0,40.0,,3,1,,Contrafrente,,,-34.626053,-58.44748,https://www.argenprop.com/static-content/11337981/be5a0310-6e0f-4f98-8757-4c66066a70fa_u_small.jpg,images/18973311.jpg,
28,18213457.0,2026-02-04 22:45:54.482223,,https://www.argenprop.com/departamento-en-alquiler-en-tribunales-2-ambientes--18213457,680000,ARS,227000,Departamento,63.0,,63.0,85.0,,2,,Muy Bueno,Contrafrente,,,-34.60178,-58.3879,https://www.argenprop.com/static-content/75431281/7ff09f31-0e06-4118-a346-59f1d92ec91a_u_small.jpg,images/18213457.jpg,
29,18619106.0,2026-02-04 22:45:54.491002,,https://www.argenprop.com/departamento-en-alquiler-en-san-nicolas-3-ambientes--18619106,680000,ARS,227000,Departamento,63.0,,63.0,85.0,,3,,Muy Bueno,Contrafrente,,,-34.60178,-58.3879,https://www.argenprop.com/static-content/60191681/936fd544-b732-4821-9139-3b60216b76e2_u_small.jpg,images/18619106.jpg,
102,18973322.0,2026-02-04 22:45:54.747055,,https://www.argenprop.com/departamento-en-alquiler-en-villa-urquiza-1-ambiente--18973322,550000,ARS,75000,Departamento,31.0,17.0,48.0,,,1,1,Muy Bueno,Interno,,,-34.56995,-58.50687,https://www.argenprop.com/static-content/22337981/af8e08f1-4405-4584-a74d-686727998afe_u_small.jpg,images/18973322.jpg,
104,18973333.0,2026-02-04 22:45:54.762998,,https://www.argenprop.com/departamento-en-alquiler-en-palermo-nuevo-3-ambientes--18973333,2600,USD,560000,,,,,15.0,,3,3,,Frente,,1,-34.574234,-58.423355,https://www.argenprop.com/static-content/33337981/20056239-db0c-4c16-b35b-2c94a704dc77_u_small.jpg,images/18973333.jpg,
182,18973321.0,2026-02-04 22:45:55.049011,2026-02-05 19:22:43.634879,https://www.argenprop.com/departamento-en-alquiler-en-belgrano-r-3-ambientes--18973321,800000,ARS,200000,Departamento,64.0,,64.0,60.0,,3,1,Muy Bueno,Frente,NO,,-34.56872,-58.46224,https://www.argenprop.com/static-content/12337981/9c76a68e-8065-4ecf-82ed-62b0a1394e49_u_small.jpg,images/18973321.jpg,
183,18952741.0,2026-02-04 22:45:55.061085,,https://www.argenprop.com/departamento-en-alquiler-en-villa-pueyrredon-1-ambiente--18952741,650000,ARS,124000,,30.0,,30.0,21.0,,1,1,Bueno,,,,-34.58658,-58.50035,https://www.argenprop.com/static-content/14725981/db22d2a1-4105-4c4d-b19c-4bfde1edf8d0_u_small.jpg,images/18952741.jpg,
282,15515532.0,2026-02-04 22:45:55.418620,,https://www.argenprop.com/departamento-en-alquiler-en-almagro-1-ambiente--15515532,600000,ARS,97000,Departamento,30.0,,30.0,15.0,,1,1,Muy Bueno,Lateral,,,-34.60548,-58.41757,https://www.argenprop.com/static-content/23551551/d0b75bbe-8568-4abc-8817-997d345301af_u_small.jpg,images/15515532.jpg,
561,18934180.0,2026-02-04 22:45:56.463768,,https://www.argenprop.com/departamento-en-alquiler-en-belgrano-barrancas-6-ambientes--18934180,2500,USD,450000,,160.0,17.0,177.0,,,6,3,,Frente,,1,-34.559875,-58.449802,https://www.argenprop.com/static-content/08143981/8dc9a50d-b20f-4e68-a2df-0e04eb458619_u_small.jpg,images/18934180.jpg,
562,18973291.0,2026-02-04 22:45:56.465773,,https://www.argenprop.com/departamento-en-alquiler-en-almagro-1-ambiente--18973291,550000,ARS,,Departamento,26.0,,26.0,,,1,1,Excelente,,,,-34.60096,-58.41964,https://www.argenprop.com/static-content/19237981/22e7b48b-205e-49d2-be3c-6610887aa51f_u_small.jpg,images/18973291.jpg,
563,15315983.0,2026-02-04 22:45:56.469785,,https://www.argenprop.com/departamento-en-alquiler-en-villa-crespo-2-ambientes--15315983,650000,ARS,120000,Departamento,35.0,,35.0,,,2,1,Muy Bueno,Lateral,,,-34.60333,-58.44258,https://www.argenprop.com/static-content/38951351/0febc184-85b1-411d-9166-e7eab1b8a0d2_u_small.jpg,images/15315983.jpg,
661,18973401.0,2026-02-04 22:45:56.831720,,https://www.argenprop.com/departamento-en-alquiler-en-villa-crespo-3-ambientes--18973401,950000,ARS,250000,,63.21,,63.0,18.0,,3,1,Excelente,Contrafrente,,,-34.60055,-58.434,https://www.argenprop.com/static-content/10437981/af89ce22-90dd-48fe-b657-53b8a30aed3b_u_small.jpg,images/18973401.jpg,
861,18739680.0,2026-02-04 22:45:57.637540,,https://www.argenprop.com/departamento-en-alquiler-en-parque-chacabuco-1-ambiente--18739680,610000,ARS,233000,,52.0,,52.0,,,1,1,Excelente,,N,,-34.64191,-58.43901,https://proxy.sosiva451.com/proxy/F634D8000D703428B1759DAA1B0855E0F6155C5E201242289ACD8B2395C82727C264A0B8E7202B3D211D3A9FD21838C8F8991FB33012EE05D53508F4099FA4CCF8256C56DCA462198B8133A61C4C72B21976E434EF7B6C345D9D31CAC9379AD1,images/18739680.jpg,
862,4236610.0,2026-02-04 22:45:57.653735,2026-02-06 21:07:09.753311,https://www.argenprop.com/departamento-en-alquiler-en-villa-crespo-2-ambientes--4236610,750000,ARS,200000,Departamento,50.0,,50.0,10.0,,2,1,Muy Bueno,Frente,,,-34.60143,-58.4334,https://www.argenprop.com/static-content/0166324/b20b2746-4d7f-4127-b30c-883a5b71c4cd_u_small.jpg,images/4236610.jpg,
863,18739444.0,2026-02-04 22:45:57.653735,,https://www.argenprop.com/departamento-en-alquiler-en-parque-chacabuco-1-ambiente--18739444,610000,ARS,238000,,52.0,,52.0,,,1,1,Excelente,,N,,-34.64191,-58.43901,https://www.argenprop.com/static-content/44493781/7706b8c9-5001-4499-8a10-5c3104fb6f15_u_small.jpg,images/18739444.jpg,
864,18931043.0,2026-02-04 22:45:57.653735,,https://www.argenprop.com/departamento-en-alquiler-en-nunez-1-ambiente--18931043,650000,ARS,200000,,47.0,,47.0,,,1,2,Excelente,,N,,-34.55249,-58.47324,https://www.argenprop.com/static-content/34013981/fc1b6da4-8cd1-408a-8f8e-a41840330c22_u_small.jpg,images/18931043.jpg,
865,18971120.0,2026-02-04 22:45:57.653735,,https://www.argenprop.com/departamento-en-alquiler-en-velez-sarsfield-1-ambiente--18971120,550000,ARS,78000,,29.0,,29.0,8.0,,1,1,,Frente,,,-34.63634,-58.48704,https://www.argenprop.com/static-content/02117981/dae86327-68fa-4b40-8bb9-edd73f394bb0_u_small.jpg,images/18971120.jpg,
1121,18890564.0,2026-02-04 22:45:58.731902,,https://www.argenprop.com/departamento-en-alquiler-en-chacarita-1-ambiente--18890564,600000,ARS,210000,,35.0,,35.0,,,1,1,Muy Bueno,,N,,-34.58996,-58.44907,https://www.argenprop.com/static-content/46509881/6558db2e-b1fb-43aa-99cf-94a444f8da5b_u_small.jpg,images/18890564.jpg,
1201,18958010.0,2026-02-04 22:45:59.067275,,https://www.argenprop.com/departamento-en-alquiler-en-parque-chacabuco-1-ambiente--18958010,610000,ARS,262000,,57.0,,57.0,,,1,1,Excelente,,N,,-34.64191,-58.43901,https://proxy.sosiva451.com/proxy/2F098605F490F69E2C721FC54784A50CE765CC0C092DC64DFD4769412066738B12F9697A2AA4A745DAABCD1E92EB9CFFDDF022D2202A04CF12A9E044AC9FAF9BF5751CFBD56513CF28C09DD8CF6FE243309F556AE92ED0DE2C271308C2C43C6B,images/18958010.jpg,
